Experiment,Method,Accuracy,Precision,Recall,F1 Score,FPR
Best Dual-Signal Configuration,Q-SHIELD Dual Signal,0.9583333333333334,1.0,0.75,0.8571428571428571,0.0
Dual-Signal Ablation,Mismatch Only,0.8854166666666666,0.631578947368421,0.75,0.6857142857142857,0.0875
Dual-Signal Ablation,Bell Anomaly Only,0.8333333333333334,0.0,0.0,0.0,0.0
Dual-Signal Ablation,Q-SHIELD Dual Signal,0.9583333333333334,1.0,0.75,0.8571428571428571,0.0
Baseline Comparison,Fixed,0.8733333333333333,0.7782101167315175,1.0,0.87527352297593,0.228
Baseline Comparison,Statistical,0.8311111111111111,0.7246376811594203,1.0,0.8403361344537815,0.304
Baseline Comparison,Percentile,0.7822222222222223,0.6711409395973155,1.0,0.8032128514056225,0.392
Baseline Comparison,Blind_Adaptive,0.8888888888888888,1.0,0.75,0.8571428571428571,0.0
