Reference
"Bennett, C. H., Brassard, G., Crépeau, C., Jozsa, R., Peres, A., & Wootters, W. K. (1993). Teleporting an unknown quantum state via dual classical and Einstein-Podolsky-Rosen channels. Physical Review Letters, 70, 1895–1899."
"Nielsen, M. A., & Chuang, I. L. (2010). Quantum Computation and Quantum Information. Cambridge University Press."
"Barnett, S. M., & Phoenix, S. J. D. (1993). Information-theoretic limits to quantum cryptography. Physical Review A, 48, R5."
Experimental demonstration of confidential communication with quantum security monitoring. (2021). Scientific Reports.
"Liu, J., Huang, B., Su, J., Peng, Q., & Huang, A. (2025). Deep anomaly detection for active attacks on the receiver in quantum key distribution. Optics Express."
