noise_type,noise_probability,condition,attack_type,mean_mismatch,adaptive_threshold,fixed_rejection_rate,adaptive_rejection_rate
depolarizing,0.1,normal,none,0.1253661625,0.36029293,0.0,0.0
depolarizing,0.15,normal,none,0.1766357875,0.40130862999999994,0.0,0.0
depolarizing,0.2,normal,none,0.21291504999999997,0.43033204,0.0,0.0
depolarizing,0.05,attack,pauli_x,0.5420899,0.46000000000000013,1.0,1.0
depolarizing,0.05,attack,pauli_y,0.9321532875,0.46000000000000013,1.0,1.0
depolarizing,0.05,attack,pauli_z,0.4567748625,0.46000000000000013,1.0,0.25
depolarizing,0.05,attack,entanglement_disruption,0.500146525,0.46000000000000013,1.0,1.0
depolarizing,0.1,attack,pauli_x,0.5702881124999999,0.46000000000000013,1.0,1.0
depolarizing,0.1,attack,pauli_y,0.8750122250000001,0.46000000000000013,1.0,1.0
depolarizing,0.1,attack,pauli_z,0.42518308750000006,0.46000000000000013,1.0,0.0
depolarizing,0.1,attack,entanglement_disruption,0.5013305625,0.46000000000000013,1.0,1.0
depolarizing,0.15,attack,pauli_x,0.5888916249999999,0.46000000000000013,1.0,1.0
depolarizing,0.15,attack,pauli_y,0.8271972375000001,0.46000000000000013,1.0,1.0
depolarizing,0.15,attack,pauli_z,0.398571775,0.46000000000000013,1.0,0.0
depolarizing,0.15,attack,entanglement_disruption,0.5030761874999999,0.46000000000000013,1.0,1.0
depolarizing,0.2,attack,pauli_x,0.5954345375,0.46000000000000013,1.0,1.0
depolarizing,0.2,attack,pauli_y,0.7844482875,0.46000000000000013,1.0,1.0
depolarizing,0.2,attack,pauli_z,0.3825806,0.46000000000000013,1.0,0.0
depolarizing,0.2,attack,entanglement_disruption,0.499121075,0.46000000000000013,1.0,1.0
readout,0.05,normal,none,0.09490965000000001,0.33592772,0.0,0.0
readout,0.1,normal,none,0.1798584,0.40388672000000003,0.0,0.0
readout,0.15,normal,none,0.25427237500000005,0.4596875000000001,0.2,0.0
readout,0.2,normal,none,0.320813,0.46000000000000013,1.0,0.0
readout,0.05,attack,pauli_x,0.500537075,0.46000000000000013,1.0,1.0
readout,0.05,attack,pauli_y,0.9053955375000001,0.46000000000000013,1.0,1.0
readout,0.05,attack,pauli_z,0.5006713375,0.46000000000000013,1.0,1.0
readout,0.05,attack,entanglement_disruption,0.5014038125000001,0.46000000000000013,1.0,1.0
readout,0.1,attack,pauli_x,0.5009155625,0.46000000000000013,1.0,1.0
readout,0.1,attack,pauli_y,0.819787625,0.46000000000000013,1.0,1.0
readout,0.1,attack,pauli_z,0.49871822500000007,0.46000000000000013,1.0,1.0
readout,0.1,attack,entanglement_disruption,0.498303225,0.46000000000000013,1.0,1.0
readout,0.15,attack,pauli_x,0.5006958,0.46000000000000013,1.0,1.0
readout,0.15,attack,pauli_y,0.7444213625,0.46000000000000013,1.0,1.0
readout,0.15,attack,pauli_z,0.49976805,0.46000000000000013,1.0,1.0
readout,0.15,attack,entanglement_disruption,0.49913332499999996,0.46000000000000013,1.0,1.0
readout,0.2,attack,pauli_x,0.4995727125,0.46000000000000013,1.0,1.0
readout,0.2,attack,pauli_y,0.6820434625,0.46000000000000013,1.0,1.0
readout,0.2,attack,pauli_z,0.501013125,0.46000000000000013,1.0,1.0
readout,0.2,attack,entanglement_disruption,0.499060025,0.46000000000000013,1.0,1.0
