probes,fixed_time,adaptive_time,overhead_ratio
10,1.1899999663000926e-05,1.809999957913533e-05,1.5210084110683826
25,8.999999408842996e-06,3.0899998819222674e-05,3.4333334276513088
50,8.099999831756577e-06,5.0099999498343095e-05,6.1851852517234365
100,1.5300000086426735e-05,0.00010100000145030208,6.601307247043964
200,2.9000002541579306e-05,0.00020049999875482172,6.913792454581721
