shots,mean_execution_time,std_execution_time,mean_mismatch
128,0.014729859998624306,0.00825655329209209,0.015625
256,0.011827839999750723,0.0008501256884141301,0.035156
512,0.018161279999185355,0.0008915235090801525,0.037109
1024,0.03442211999936262,0.0014807262508386805,0.023438
2048,0.06467369999882067,0.0006404718918550933,0.029297
